HRE -17.931801 31.0928 AF ZW
HYD 17.231318 78.429855 AS IN
HYN 28.562201 121.429001 AS CN
IAD 38.9445 -77.455803 NA US
IAH 29.984399795532227 -95.34140014648438 NA US
ICN 37.46910095214844 126.45099639892578 AS KR
IND 39.7173 -86.294403 NA US
ISB 33.549 72.82566 AS PK
IST 41.261297 28.741951 EU TR
ISU 35.5617485046 45.316738128699996 AS IQ
ITJ -26.879431 -48.650979 SA BR
ITM 34.785499572753906 135.43800354003906 AS JP
IXC 30.6735 76.788498 AS IN
JAX 30.49410057067871 -81.68789672851562 NA US
JDO -7.21932 -39.269096 SA BR
JED 21.6796 39.156502 AS SA
JFK 40.639447 -73.779317 NA US
JHB 1.64131 103.669998 AS MY
JIB 11.5473 43.1595 AF DJ
JNB -26.1392 28.246 AF ZA
JOG -7.78818 110.431999 AS ID
JOI -26.224501 -48.797401 SA BR
JSR 23.1838 89.160797 AS BD
KBP 50.345001 30.894699 EU UA
KEF 63.985001 -22.6056 EU IS
KGL -1.96863 30.1395 AF RW
KHH 22.577101 120.349998 AS TW
KHI 24.9065 67.160797 AS PK
KHN 28.864815 115.90271 AS CN
KHV 48.528338 135.188588 AS RU
KIN 17.935699462890625 -76.7874984741211 NA JM
KIV 46.9277 28.931 EU MD
KIX 34.427299 135.244003 AS JP
KJA 56.173077 92.492437 EU RU
KLD 56.82469940185547 35.7577018737793 EU RU
KMG 25.110313 102.936743 AS CN
KNU 26.404301 80.410103 AS IN
KTM 27.6966 85.3591 AS NP
KUL 2.74558 101.709999 AS MY
KWE 26.541466 106.803331 AS CN
KWI 29.226601 47.968899 AS KW
LAD -8.85837 13.2312 AF AO
LAS 36.083361 -115.151817 NA US
LAX 33.942501 -118.407997 NA US
LCA 34.875099 33.624901 AS CY
LCK 39.813801 -82.927803 NA US
LCY 51.505299 0.055278 EU GB
LED 59.80030059814453 30.262500762939453 EU RU
LGA 40.777199 -73.872597 NA US
LHE 31.521601 74.403603 AS PK
LHR 51.4706 -0.461941 EU GB
LHW 36.515202 103.620003 AS CN
LIM -12.0219 -77.114305 SA PE
LIN 45.445099 9.27674 EU IT
LIS 38.7813 -9.13592 EU PT
LLK 38.757919 48.807042 AS AZ
LON 51.4706 -0.461941 EU GB
LOS 6.5773701667785645 3.321160078048706 AF NG
LUX 49.6233333 6.2044444 EU LU
LYS 45.725556 5.081111 EU FR
MAA 12.990005 80.169296 AS IN
MAD 40.471926 -3.56264 EU ES
MAN 53.349375 -2.279521 EU GB
MAO -3.03861 -60.049702 SA BR
MBA -4.03483 39.5942 AF KE
MCI 39.2976 -94.713898 NA US
MCT 23.593299865722656 58.284400939941406 AS OM
MDE 6.16454 -75.4231 SA CO
MDL 21.702199935913086 95.97789764404297 AS MM
MEL -37.673302 144.843002 OC AU
MEM 35.04240036010742 -89.97669982910156 NA US
MEX 19.435433 -99.082432 NA MX
MFE 26.176141 -98.237965 NA US
MFM 22.149599 113.592003 AS MO
MGM 32.300598 -86.393997 NA US
MIA 25.79319953918457 -80.29060363769531 NA US
MLE 4.191830158233643 73.52909851074219 AS MV
MNL 14.5086 121.019997 AS PH
MPM -25.920799 32.572601 AF MZ
MRS 43.438088 5.2125 EU FR
MRU -20.430201 57.683601 AF MU
MSP 44.882 -93.221802 NA US
MSQ 53.888071 28.039964 EU BY
MUC 48.353802 11.7861 EU DE
MXP 45.6306 8.72811 EU IT
NAG 21.092199 79.047203 AS IN
NBO -1.31923997402 36.9277992249 AF KE
NJF 31.989853 44.404317 AS IQ
NOU -22.014601 166.212997 OC NC
NQN -38.949001 -68.155701 SA AR
NRT 35.764702 140.386002 AS JP
NVT -26.879431 -48.650979 SA BR
NYC 40.639447 -73.779317 NA US
OKA 26.195801 127.646004 AS JP
OKC 35.393101 -97.6007 NA US
OMA 41.3032 -95.894096 NA US
ORD 41.9786 -87.9048 NA US
ORF 36.8946 -76.201202 NA US
ORK 51.841301 -8.49111 EU IE
ORN 35.623901 -0.621183 AF DZ
OSL 60.193901 11.1004 EU NO
OTP 44.572127 26.103396 EU RO
OUA 12.3532 -1.51242 AF BF
PAO 37.461101532 -122.114997864 NA US
PAR 49.012798 2.55 EU FR
PAT 25.591299 85.087997 AS IN
PBH 27.4032 89.424599 AS BT
PBM 5.45283 -55.187801 SA SR
PDK 33.8755989075 -84.3020019531 NA US
PDX 45.58869934 -122.5979996 NA US
PER -31.94029998779297 115.96700286865234 OC AU
PHL 39.87189865112305 -75.24109649658203 NA US
PHX 33.435302 -112.005905 NA US
PIT 40.49150085 -80.23290253 NA US
PKX 39.509945 116.41092 AS CN
PMO 38.175999 13.091 EU IT
PNH 11.5466 104.844002 AS KH
PNQ 18.5821 73.919701 AS IN
POA -29.994712 -51.166592 SA BR
PPT -17.553699 -149.606995 OC PF
PRG 50.103514 14.256992 EU CZ
PTY 9.0713596344 -79.3834991455 NA PA
QPG 1.36042 103.910004 AS SG
QRO 20.6173 -100.185997 NA MX
QWJ -23.431944 -46.467778 SA BR
RAO -21.134314 -47.774053 SA BR
RDU 35.877602 -78.787498 NA US
REC -8.125984 -34.923316 SA BR
RGN 16.907300949099998 96.1332015991 AS MM
RIC 37.50519943237305 -77.3197021484375 NA US
RIX 56.923599 23.9711 EU LV
RUH 24.9576 46.698799 AS SA
RUN -20.890087 55.518894 AF RE
SAN 32.7336006165 -117.190002441 NA US
SAT 29.533701 -98.469803 NA US
SCL -33.393001556396484 -70.78579711914062 SA CL
SDQ 18.42970085144 -69.668899536133 NA DO
SEA 47.449162 -122.311134 NA US
SFO 37.61899948120117 -122.375 NA US
SGN 10.8188 106.652 AS VN
SHA 31.198104 121.33426 AS CN
SIN 1.35019 103.994003 AS SG
SJC 37.362452 -121.929188 NA US
SJK -23.2292 -45.8615 SA BR
SJO 9.99386 -84.208801 NA CR
SJP -20.817113 -49.406963 SA BR
SJW 38.280701 114.696999 AS CN
SKG 40.51928 22.970009 EU GR
SLC 40.785749 -111.979746 NA US
SMF 38.69540023803711 -121.59100341796875 NA US
SOD -23.478001 -47.490002 SA BR
SOF 42.696357 23.417671 EU BG
SSA -12.908611 -38.322498 SA BR
STI 19.406099319458008 -70.60469818115234 NA DO
STL 38.748697 -90.370003 NA US
STP 44.93479 -93.060036 NA US
STR 48.689899 9.22196 EU DE
SUV -18.04330062866211 178.5590057373047 OC FJ
SVX 56.743099212646 60.802700042725 AS RU
SYD -33.94609832763672 151.177001953125 OC AU
SZX 22.639299 113.810997 AS CN
TAO 36.361953 120.088171 AS CN
TAS 41.257900238 69.2811965942 AS UZ
TBS 41.669201 44.9547 AS GE
TGU 14.0609 -87.217201 NA HN
TIA 41.4147 19.7206 EU AL
TLH 30.3965 -84.350304 NA US
TLL 59.41329956049999 24.832799911499997 EU EE
TLV 32.011398 34.8867 AS IL
TNA 36.857201 117.216003 AS CN
TNR -18.7969 47.478802 AF MG
TPA 27.975500106811523 -82.533203125 NA US
TPE 25.0777 121.233002 AS TW
TSN 39.124401092499994 117.346000671 AS CN
TUN 36.851002 10.2272 AF TN
TXL 52.362247 13.500672 EU DE
TYO 35.764702 140.386002 AS JP
UDI -18.883579 -48.225936 SA BR
UIO -0.125399 -78.354306 SA EC
ULN 47.843102 106.766998 AS MN
URT 9.13259983063 99.135597229 AS TH
VCP -23.007404 -47.134502 SA BR
VIE 48.110298 16.5697 EU AT
VIX -20.258 -40.285 SA BR
VNO 54.634102 25.285801 EU LT
VTE 17.988300323500003 102.56300354 AS LA
WAW 52.1656990051 20.967100143399996 EU PL
WHU 31.3906 118.408997 AS CN
WIE 50.049800872802734 8.325400352478027 EU DE
WLG -41.3272018433 174.804992676 OC NZ
WVI 36.9356994629 -121.790000916 NA US
XAP -27.134199 -52.656601 SA BR
XNH 30.935801 46.090099 AS IQ
YHZ 44.8807983398 -63.5085983276 NA CA
YOW 45.322498 -75.669197 NA CA
YTO 43.6772 -79.6306 NA CA
YUL 45.4706 -73.740799 NA CA
YVR 49.193901062 -123.183998108 NA CA
YWG 49.909999847399995 -97.2398986816 NA CA
YXE 52.170799255371094 -106.69999694824219 NA CA
YYC 51.113899231 -114.019996643 NA CA
YYZ 43.6772 -79.6306 NA CA
ZAG 45.742901 16.0688 EU HR
ZDM 31.91123 35.20756 AS PS
ZGN 23.392401 113.299004 AS CN
ZHY 37.573125 105.154454 AS CN
ZRH 47.458056 8.548056 EU CH
